country_code,country_name,year,SP.DYN.IMRT.IN,SH.DYN.MORT,NY.GDP.FRST.RT.ZS,shrinking_next_yr,SP.POP.DPND.OL,dev_SP.POP.2024.FE.5Y,SP.POP.2024.FE.5Y,SP.POP.3034.FE.5Y,NY.GNS.ICTR.GN.ZS,time_del_MS.MIL.XPND.GD.ZS,SP.DYN.TFRT.IN,EN.ATM.CO2E.PC,SP.POP.5559.FE.5Y,NE.IMP.GNFS.ZS,NY.GDS.TOTL.ZS,TM.VAL.FUEL.ZS.UN,FS.AST.PRVT.GD.ZS,SE.PRM.ENRR,NV.SRV.TETC.ZS,dev_AG.PRD.FOOD.XD,IT.CEL.SETS.P2,SP.DYN.CDRT.IN,time_diff_SP.POP.DPND,NY.ADJ.DCO2.GN.ZS,NV.IND.TOTL.ZS,SP.DYN.LE00.MA.IN,SP.DYN.TO65.MA.ZS,FI.RES.TOTL.MO,time_del_AG.PRD.CROP.XD,NY.GDP.DEFL.KD.ZG,SP.DYN.LE00.FE.IN,SP.RUR.TOTL.ZS,NE.TRD.GNFS.ZS,stupid_predictor
ERI,Eritrea,1994,78.0,124.1,6.015740913999999,1.0,3.468649985,-0.00889078235662824,8.152455775,5.404496523,54.64229091,-0.05024312386666671,6.03,0.280482252,2.090465489,82.86211529,-29.70505618,14.177293488468738,47.38577765961694,41.69137955,61.39951788,-7.269999999999996,0.0,12.7,-0.5388053406213968,1.778996489,14.23284555,49.345,33.19076,4.722739982157228,1.6929573451843452,10.43214753,53.868,83.633,110.88177820000001,0.0
ERI,Eritrea,1995,74.2,117.3,8.851448792000001,0.0,3.492898803,-0.07086965299999903,8.081586122000001,5.1806471819999995,19.0963581,7.43366295,5.914,0.302600934,2.107325513,82.93460925,-38.00989376,14.177293488468738,17.09591004,43.95251083,62.27056629,-13.090000000000003,0.0,12.036,1.8431022000000041,1.835906373,16.7900343,50.18899999999999,34.52295,0.9762623009999999,-14.310000000000002,9.810040378,54.731,83.464,105.32262859999999,0.0
ERI,Eritrea,1996,70.6,110.8,7.658070597,0.0,3.564014405,0.23808961900000014,8.319675741000001,5.158723759,19.12050505,1.1310873699999995,5.792999999999999,0.32476537699999997,2.124567165,87.38374994,-30.56072222,14.177293488468738,34.64970713,46.11840057,61.03984304,-16.680000000000007,0.0,11.392999999999999,-2.4099107000000117,1.779369659,20.96538887,51.01,35.855140000000006,1.570022452,-17.549999999999997,9.07483508,55.558,83.28299999999999,116.6175203,0.0
ERI,Eritrea,1997,67.2,104.8,7.523247856,0.0,3.6168506330000003,0.27454991899999825,8.59422566,5.142822665,34.56865688,-9.12820458,5.67,0.27374760800000003,2.140039285,85.79995387,-24.9044037,14.177293488468738,35.21082608,45.43133163,59.73776855,-15.040000000000006,0.0,10.799000000000001,-2.532304400000001,1.5998467440000002,23.40223867,51.794,37.18734,4.386853775,2.8700000000000045,3.897151472,56.336000000000006,83.09200000000001,115.4147767,0.0
ERI,Eritrea,1998,64.1,99.2,7.515847572,0.0,3.65213814,0.3032275730000009,8.897453233,5.134873525,6.256988487999999,22.4463213,5.5489999999999995,0.18310985300000002,2.1578572730000003,80.09308209,-32.97173958,14.177293488468738,46.47665148,99.72846246523882,53.40685152,16.25,0.0,10.277000000000001,-2.6208058499999964,1.035549308,21.0641559,52.533,38.18893,1.164078025,63.07000000000001,9.109173259,57.056000000000004,82.88799999999999,94.92756567,0.0
ERI,Eritrea,1999,61.1,94.0,4.831667395,1.0,3.671150204,0.3243167729999996,9.221770006,5.136574253,17.16486667,4.329047609999996,5.434,0.187666155,2.1836456490000002,86.72482863,-31.67624143,14.177293488468738,33.28628614,48.51984024,52.25969975,5.6299999999999955,0.0,9.837,-2.6606120000000004,1.226401712,22.85825697,53.218999999999994,39.19052,1.145074777,-26.000000000000014,2.318561344,57.714,82.67200000000001,96.25923618,0.0
ERI,Eritrea,2000,58.3,89.1,4.845676419,0.0,3.6765223789999997,0.3367857789999995,9.558555785,5.1481095230000005,15.81007472,-6.950845469999997,5.327999999999999,0.17941576899999997,2.218336394,58.21074133,-26.54336398,1.52640166,29.19470753,54.64471054,66.11741256,-10.090000000000003,0.0,9.485,-2.5887845700000014,1.247773015,20.44695727,53.846000000000004,40.19211,0.8496752240000001,-36.97,24.97759459,58.313,82.445,67.88136193,0.0
ERI,Eritrea,2001,55.8,84.6,4.485170538999999,0.0,3.7014119639999996,0.4238255889999998,9.982381374,5.236081421000001,21.83667279237924,-10.518879510000001,5.233,0.18035505699999999,2.247668323,61.2556706,-15.18800848,0.860445626,29.03011661,55.27159119,63.89187428,-0.8199999999999932,0.0,9.218,-3.4026472200000057,1.283623148,19.85943124,54.413999999999994,41.1937,4.722739982157228,19.52000000000001,15.07726994,58.86,82.204,72.06271096,0.0
ERI,Eritrea,2002,53.4,80.4,3.0981963930000003,0.0,3.716256064,0.4087167360000006,10.39109811,5.339832622,21.83667279237924,-1.4649132499999986,5.149,0.16739016,2.286562045,64.80898282,-23.47886965,14.177293488468738,28.612579800000002,61.50107956,63.71173079,-15.040000000000006,0.0,9.014,-3.140899829999995,1.335501808,21.22873354,54.93600000000001,42.19528,4.722739982157228,-33.46000000000001,16.14866733,59.378,81.95100000000001,76.59016366,0.0
ERI,Eritrea,2003,51.2,76.5,4.529917392,0.0,3.725679856,0.37301536000000013,10.76411347,5.47067886,21.83667279237924,0.19386699000000007,5.073,0.19422539600000002,2.3225896130000003,67.56549646,-34.57920822,0.8422138990000001,30.20946859,67.14526367,65.68966449,-6.569999999999993,0.0,8.849,-2.816576679999997,1.4148633469999998,21.43582428,55.43,43.06303,4.722739982157228,10.340000000000003,21.87284165,59.88399999999999,81.685,74.00782429,0.0
ERI,Eritrea,2004,49.2,72.9,3.255530538,1.0,3.734988452,0.3114309199999994,11.07554439,5.644284323,21.83667279237924,-0.05024312386666671,5.005,0.19957119399999998,2.339440879,59.79550787,-33.75718714,14.177293488468738,26.94248933,70.18131256,67.09139364,-3.8799999999999955,0.428676577,8.707,-2.4480942900000002,1.249558903,21.33292421,55.906000000000006,43.93077,4.722739982157228,1.730000000000004,24.79928572,60.388999999999996,81.405,65.57090685,0.0
ERI,Eritrea,2005,47.2,69.5,3.2379630930000003,1.0,3.7483142139999996,0.23110248000000055,11.30664687,5.867690908999999,21.83667279237924,-0.05024312386666671,4.942,0.193096913,2.3307227530000003,54.9403177,-28.43516466,14.177293488468738,27.56323901,70.63191223,53.87158501,18.379999999999995,0.833074787,8.568999999999999,-2.0720023000000083,1.32790482,21.9193028,56.388999999999996,44.79852,4.722739982157228,50.519999999999996,7.623689381,60.906000000000006,81.111,61.10603102,0.0
ERI,Eritrea,2006,45.4,66.3,2.805902153,1.0,3.841237925,0.021170059999999324,11.32781693,6.03734814,21.83667279237924,-0.05024312386666671,4.881,0.137963994,2.295069502,38.36133666,-17.78071073,14.177293488468738,25.98826924,68.01191711,54.62523315,15.5,1.23129209,8.417,0.08277044000000444,0.934655542,19.26615004,56.898999999999994,45.66626,4.722739982157228,-6.890000000000001,11.39400375,61.445,80.804,45.26084605,0.0
ERI,Eritrea,2007,43.7,63.2,3.9485222710000003,1.0,3.926176885,-0.031122319999999704,11.29669461,6.235282442999999,21.83667279237924,-0.05024312386666671,4.8180000000000005,0.139499082,2.239130248,28.78770695,-10.34227895,14.177293488468738,20.73574904,61.28168106,54.53758957,33.019999999999996,1.6190113869999998,8.243,0.21356353999999556,0.936292083,20.07907419,57.446000000000005,46.534,4.722739982157228,17.25,7.28820842,62.004,80.482,34.55955953,0.0
